;de1;en
10;Zu der unendlichen Vielfalt möglicher Sprachstile verhält sich das Kafkasche Deutsch wie Wasser sich verhält zu der unendlichen Vielfalt möglicher Getränke.;These tactics resulted in a victory for the Nazis, as the Allied abandoned the distinction between Germans and Nazis.
11;"Seine Prosa scheint durch nichts Besonderes ausgezeichnet, sie ist nirgends in sich selbst bezaubernd oder betörend;";In order to appreciate the decisive change of political conditions in Germany since the lost battle of Britain, one must note that until the war and even until the first military defeats only relatively small groups of active Nazis, among whom not even the Nazi sympathizers were included, and equally small numbers of active anti-Fascists really knew what was going on.
12;sie ist vielmehr reinste Mitteilung und ihr einziges Charakteristikum ist, daß - sieht man genauer zu - es sich immer wieder herausstellt, daß man dies Mitgeteilte einfacher und klarer und kürzer keinesfalls hätte mitteilen können.;All others, whether German or non-German, had the natural inclination to believe the statements of an official, universally recognized government rather than the charges of refugees, which, coming from Jews or Socialists, were suspect in any case.
13;Der Mangel an Manieriertheit ist hier fast bis an die Grenze der Stillosigkeit, der Mangel an Verliebtheit in Worte als solche fast bis an die Grenze der Kälte getrieben.;Even of those refugees, only a relatively small proportion knew the full truth and even a smaller fraction was prepared to bear the odium of unpopularity involved in telling the truth.   
14;Kafka kennt keine Lieblingsworte, keine bevorzugten syntaktischen Konstruktionen.;As long as the Nazis expected victory, their terror organizations were strictly isolated from the people and, in time of war, from the army.
15;Das Resultat ist eine neue Art der Vollkommenheit, die von allen Stilen der Vergangenheit gleich weit entfernt zu sein scheint.;The army was not used to commit atrocities and SS troops were increasingly recruited from “qualified” circles of whatever nationality.
16;Es gibt in der Geschichte der Literatur kaum ein überzeugenderes Beispiel für die Verkehrtheit der Theorie vom »verkannten Genie« als die Tatsache des Kafkaschen Ruhmes.;If the planned New Order of Europe should have succeeded, we would have been witnesses of an inter-European organization of terror under German leadership.
17;In diesem Werk gibt es nicht eine Zeile und nicht eine einzige Geschichts-Konstruktion, die dem Leser, so wie er sich im Verlauf des vorigen Jahrhunderts herausgebildet hat, in seiner Suche nach »Unterhaltung und Belehrung« (Broch) entgegenkäme.;The terror would have been exercised by members of all European nationalities with the exception of Jews in an organization graded according to the racial classification of the various countries.
18;Das einzige, was den Leser in Kafkas Werk lockt und verlockt, ist die Wahrheit selbst, und diese Verlockung ist Kafka in seiner stil-losen Vollkommenheit -- jeder »Stil« würde durch seinen eigenen Zauber von der Wahrheit ablenken -- bis zu dem unglaublichen Grade geglückt, daß seine Geschichten auch dann in Bann schlagen, wenn der Leser ihren eigentlichen Wahrheitsgehalt erst einmal nicht begreift.;The German people, of course, would not have been spared by it.
19;Kafkas eigentliche Kunst besteht darin, daß der Leser eine unbestimmte, vage Faszination, die sich mit der unausweichlich klaren Erinnerung an bestimmte, erst scheinbar sinnlose Bilder und Begebenheiten paart, so lange aushält und sie so entscheidend in sein Leben mitnimmt, daß ihm irgendwann einmal, auf Grund irgendeiner Erfahrung plötzlich die wahre Bedeutung der Geschichte sich enthüllt mit der zwingenden Leuchtkraft der Evidenz.   ;Himmler was always of the opinion that authority in Europe should be in the hands of a racial “élite,” organized in SS troops without national ties.  
20;Der Prozeß, über den eine kleine Bibliothek von Auslegungen in den zwei Jahrzehnten, die seit seinem Erscheinen verstrichen sind, veröffentlicht worden ist, ist die Geschichte des Mannes K., der angeklagt ist, ohne zu wissen, was er getan hat, dem ein Prozeß gemacht wird, ohne daß er herausfinden kann, nach welchen Gesetzen der Prozeß und das Urteil gehandhabt werden, und der schließlich hingerichtet wird, ohne je erfahren zu haben, worum es sich eigentlich gehandelt hat.;It was only their defeats which forced the Nazis to abandon this concept and pretend to return to old nationalist slogans.
21;Auf der Suche nach dem wahren Grund dieser Begebenheit findet er erst einmal heraus, daß hinter seiner Verhaftung »eine große Organisation sich befindet.;The active identification of the whole German people with the Nazis was part of this trend.
22;Eine Organisation, die nicht nur bestechliche Wächter, läppische Aufseher und Untersuchungsrichter, die günstigsten Falles bescheiden sind, beschäftigt, sondern die weiterhin jedenfalls eine Richterschaft hohen und höchsten Grades unterhält, mit dem zahllosen, unumgänglichen Gefolge von Dienern, Schreibern, Gendarmen und anderen Hilfskräften, vielleicht sogar Henkern...;National Socialism’s chances of organizing an underground movement in the future depend on no one’s being able to know any longer who is a Nazi and who is not, on there being no visible signs of distinction any longer, and above all on the victorious powers’ being convinced that there really are no differences between Germans.
23;Und der Sinn dieser großen Organisation...?;To bring this about, an intensified terror in Germany, which proposed to leave no person alive whose past or reputation proclaimed him an anti-Fascist, was necessary.
24;Er besteht darin, daß unschuldige Personen verhaftet werden und gegen sie ein sinnloses und meistens, wie in meinem Fall, ergebnisloses Verfahren eingeleitet wird«.;In the first years of the war the regime was remarkably “magnanimous” to its opponents, provided they remained peaceful.
25;Als K. merkt, daß solche Verfahren trotz ihrer Sinnlosigkeit nicht unbedingt ergebnislos zu verlaufen brauchen, nimmt er sich einen Rechtsanwalt, der ihm in langen Reden auseinandersetzt, auf welche Weise man sich den bestehenden Zuständen anpassen kann und wie unvernünftig es sei, sie zu kritisieren.;Of late, however, countless persons have been executed even though, for the reason that for years there has been no freedom of movement, they could not constitute any immediate danger to the regime.
26;K., der sich nicht fügen will und seinen Advokaten entläßt, trifft mit dem Gefängnisgeistlichen zusammen, der ihm die verborgene Größe des Systems predigt und ihm anrät, nicht mehr nach der Wahrheit zu fragen, denn »man muß nicht alles für wahr halten, man muß es nur für notwendig halten«.;On the other hand, prudently foreseeing that in spite of all precautionary measures the Allies might still find a few hundred persons in each city with an irreproachable anti-Fascist record-testified to by former war prisoners or foreign laborers, and supported by records of imprisonment or concentration camp internment-the Nazis have already provided their own trusted cohorts with similar documentation and testimony, making these criteria worthless.
27;Mit anderen Worten, wenn der Advokat sich nur bemühte zu demonstrieren:;Thus in the case of inmates of concentration camps (whose number nobody knows precisely, but which is estimated at several million), the Nazis can safely either liquidate them or let them escape: in the improbable event of their survival (a massacre of the type which occurred in Buchenwald is not even punishable under the war crimes provisions)-it will not be possible to identify them unmistakably.  
28;So ist die Welt, hat der von dieser Welt angestellte Geistliche die Aufgabe zu erweisen:;Whether any person in Germany is a Nazi or an anti-Nazi can be determined only by the One who knows the secrets of the human heart, which no human eye can penetrate.
29;Dies ist die Weltordnung.;Those, at any rate, those who actively organize an anti-Nazi underground movement in Germany today-and there are such persons in Germany, of course-would meet a speedy death if they failed to act and talk precisely like Nazis.
30;Und da K. dies für eine »trübselige Meinung« hält und erwidert:;In a country where a person attracts immediate attention by failing either to murder upon command or to be a ready accomplice of murderers, this is no light task.
31;"»Die Lüge wird zur Weltordnung gemacht«, ist es klar, daß er seinen Prozeß verlieren wird;";The most extreme slogan which this war has evoked among the Allies, that the only “good German” is a “dead German,” has this much basis in fact: the only way in which we can identify an anti-Nazi is when the Nazis have hanged him.
32;da andererseits dies nicht »sein Endurteil« war und er versuchte, die »ungewohnten Gedankengänge« als »unwirkliche Dinge«, die ihn im Grunde nichts angingen, abzuweisen, verliert er nicht nur den Prozeß, sondern verliert ihn auf eine schmähliche Weise, so daß er schließlich der Hinrichtung nichts entgegenzusetzen hat als seine Scham.;There is no other reliable token.  
33;Die Macht der Maschine, die K. ergreift und umbringt, ist nichts anderes als Schein der Notwendigkeit, der sich realisieren kann durch die Bewunderung der Menschen für Notwendigkeit.;II  
34;Die Maschine kommt in Gang, weil Notwendigkeit für etwas Erhabenes gehalten wird und weil ihr Automatismus, der nur von Willkür unterbrochen wird, für das Sinnbild der Notwendigkeit genommen wird.;These are the real political conditions which underlie the charge of the collective guilt of the German people.
35;Die Maschine wird in Gang gehalten durch die Lügen um der Notwendigkeit willen, so daß in voller Konsequenz ein Mann, der sich nicht dieser »Weltordnung«, dieser Maschinerie unterwerfen will, als Verbrecher gegen eine Art göttlicher Ordnung angesehen wird.;"They are the consequences of a policy which, in the deepest sense, is a- and anti-national; which is utterly determined that there shall be a German people only if it is in the power of its present rulers; and which will rejoice as at its greatest victory if the defeat of the Nazis involves with it the physical destruction of the German people."
36;Solche Unterwerfung ist dann erreicht, wenn die Frage nach Schuld und Unschuld völlig verstummt und an ihre Stelle die Entschlossenheit getreten ist, die von der Willkür befohlene Rolle im Spiel der Notwendigkeit zu spielen.;The totalitarian policy, which has completely destroyed the neutral zone in which the daily life of human beings is ordinarily lived, has achieved the result of making the existence of each individual in Germany depend either upon committing crimes or on complicity in crimes.
37;Im Falle des Prozeß wird die Unterwerfung nicht durch Gewalt erreicht, sondern einfach durch das wachsende Schuldgefühl, das die unbegründete leere Anschuldigung im angeklagten K. erweckt.;The success of Nazi propaganda in Allied countries, as expressed in the attitude commonly called Vansittartism, is a secondary matter in comparison.
38;Dieses Gefühl beruht natürlich letzten Endes auf der Tatsache, daß kein Mensch frei von Schuld ist.;It is a product of general war propaganda, and something quite apart from the specific modern political phenomenon described above.
39;"Im Falle des K., der, ein vielbeschäftigter Bankbeamter, nie Zeit gehabt hat, über solche Allgemeinheiten sich den Kopf zu zerbrechen, wird dies Schuldgefühl zum eigentlichen Verhängnis;";All the documents and pseudo-historical demonstrations of this tendency sound like relatively innocent plagiarism of the French literature of the last war-and it makes no essential difference that a few of those writers who twenty-five years ago kept the presses rolling with their attacks on “perfidious Albion” have now placed their experience at the Allies’ disposal.  
40;es führt ihn nämlich in jene Verwirrung, in welcher er das organisierte und bösartige Übel seiner Umwelt verwechselt mit dem Ausdruck jener allgemein menschlichen Schuld, die harmlos und eigentlich unschuldig ist verglichen mit dem bösen Willen, der »die Lüge zur Weltordnung« macht und für diese Weltordnung selbst des Menschen berechtigte Demut brauchen und mißbrauchen kann.;
41;Das Funktionieren der bösartig bürokratischen Maschine, in die der Held unschuldig sich verfangen hat, wird also begleitet durch eine innere Entwicklung, welche durch das Schuldgefühl ausgelöst worden ist.;But even the best-intended discussions between the defenders of the “good Germans” and the accusers of the “bad” not only miss the essence of the question, but also plainly fail to apprehend the magnitude of the catastrophe.
42;In dieser Entwicklung wird er »erzogen«, verändert und gebildet, bis er in die Rolle, die ihm zugemutet wurde, hereinpaßt und befähigt ist, in der Welt der Notwendigkeit, der Ungerechtigkeit und der Lüge schlecht und recht mitzuspielen.;Either they are betrayed into trivial general comments on good and bad people, and into a fantastic over-estimation of the power of education, or they simply adopt an inverted version of Nazi racial theory.
43;Dies ist seine Art, sich den herrschenden Zuständen anzupassen.;There is a certain danger in all this only because, since Churchill’s famous statement on the subject, the Allies have refrained from fighting an ideological war and have thus unconsciously given an advantage to the Nazis (who, without regard to Churchill, are organizing their defeat ideologically) and a chance of survival to all racial theories.   
44;Die innere Entwicklung des Helden und das Funktionieren der Maschine treffen schließlich in der letzten Szene der Hinrichtung zusammen, als K. sich ohne Sträuben, ja ohne Widerrede abführen und töten läßt.;The true problem however is not to prove what is self-evident, namely, that Germans have not been potential Nazis ever since Tacitus’ times, nor what is impossible, that all Germans harbor Nazi views.
45;Um der Notwendigkeit willen wird er ermordet, um der Notwendigkeit willen und in der Verwirrung des Schuldbewußtseins unterwirft er sich.;It is, rather, to consider how to conduct ourselves and how to bear the trial of confronting a people among whom the boundaries dividing criminals from normal persons, the guilty from the innocent, have been so completely effaced that nobody will be able to tell in Germany whether in any case he is dealing with a secret hero or with a former mass murderer.
46;Und die einzige Hoffnung, die am äußersten Ende der Romanhandlung blitzartig auftaucht, ist: »Es war als sollte die Scham ihn überleben.«;In this situation we will not be aided either by a definition of those responsible, nor by the punishment of “war criminals.”
47;Die Scham nämlich, daß dies die Weltordnung ist und er, Josef K., wenn auch als ihr Opfer, ein gehorsames Glied derselben.;Such definitions by their very nature can apply only to those who not only took responsibility upon themselves, but also produced this whole inferno-and yet strangely enough are still not to be found on the lists of war criminals.
48;Daß der Prozeß eine Kritik der bürokratischen Regierungsform des alten Österreich impliziert, dessen zahlreiche und sich bekämpfende Nationalitäten durch eine uniforme Beamtenhierarchie regiert wurden, wurde gleich bei Erscheinen des Romans erkannt.;The number of those who are responsible and guilty will be relatively small.
49;Kafka, Angestellter einer Arbeitsversicherungsgesellschaft und Freund osteuropäischer Juden, denen er die Aufenthaltserlaubnis in Österreich zu verschaffen hatte, kannte die politischen Zustände seines Landes sehr genau.;There are many who share responsibility without any visible proof of guilt.
50;Er wußte, daß, hatte sich einer erst einmal in den Maschen des bürokratischen Apparates verfangen, er auch schon verurteilt war.;There are many more who have become guilty without being in the least responsible.
51;Die Herrschaft der Bürokratie brachte es mit sich, daß die Auslegung des Gesetzes zum Instrument der Gesetzlosigkeit wurde, wobei die chronische Aktionsunfähigkeit der Gesetzinterpreten durch einen an sich sinnlosen Automatismus in der niederen Beamtenhierarchie kompensiert wurde, dem alle eigentlichen Entscheidungen überlassen waren.;Among the responsible in a broader sense must be included all those who continued to be sympathetic to Hitler as long as it was possible, who aided his rise to power, and who applauded him in Germany and in other European countries.
52;Da aber in den zwanziger Jahren, als der Roman zum ersten Mal erschien, das eigentliche Wesen der Bürokratie in Europa noch nicht hinlänglich bekannt war, beziehungsweise nur einer verschwindend kleinen Schicht von europäischen Menschen wirklich zum Verhängnis geworden war, schien das Entsetzen und der Schrecken, die im Roman zum Ausdruck kommen, unerklärlich, seinem eigentlichen Inhalt gleichsam nicht adäquat.;Who would dare to brand all these ladies and gentlemen of high society as war criminals?
53;Man erschrak mehr vor dem Roman als vor der Sache selbst.;And as a matter of fact they really do not deserve such a title.
54;So begann man nach anderen, scheinbar tieferen Auslegungen zu suchen und fand sie, der Mode der Zeit folgend, in einer kabbalisierenden Darstellung religiöser Realitäten, gleichsam einer satanischen Theologie.;Unquestionably they have proved their inability to judge modern political groupings, some of them because they regarded all principles in politics as moralistic nonsense, others because they were affected by a romantic predilection for gangsters whom they confused with “pirates” of an older time.
55;Daß solche Irrtümer möglich waren -- und dies Mißverständnis ist nicht weniger fundamental, wenn auch weniger vulgär, als das Mißverständnis der psychoanalytischen Auslegungen Kafkas --, liegt natürlich im Werke Kafkas selber.;Yet these people, who were co-responsible for Hitler’s crimes in a broader sense, did not incur any guilt in a stricter sense.
56;Kafka beschreibt wirklich eine Gesellschaft, die sich für die Stellvertretung Gottes auf Erden hält und schildert Menschen, welche die Gesetze solch einer Gesellschaft als göttliche Gebote betrachten -- unwandelbar durch menschlichen Willen.;They, who were the Nazis’ first accomplices and their best aides, truly did not know what they were doing nor with whom they were dealing.  
57;Das Böse der Welt, in die Kafkas Helden sich verstricken, ist gerade ihre Vergottung, ihre Anmaßung, eine göttliche Notwendigkeit darzustellen.;The extreme horror with which particularly persons of good will react whenever the case of Germany is discussed is not evoked by those irresponsible co-responsibles, nor even by the particular crimes of the Nazis themselves.
58;Kafka ist darauf aus, diese Welt zu zerstören, indem er ihre scheußliche Struktur überdeutlich nachzeichnet und so Wirklichkeit und Anspruch einander gegenüberstellt.;It is rather the product of that vast machine of administrative mass murder, in whose service not only thousands of persons, not even scores of thousands of selected murderers, but a whole people could be and was employed:
59;Aber der Leser der zwanziger Jahre, bezaubert von Paradoxen, verwirrt von dem Spiel der Gegensätze als solchen, wollte auf Vernunft nicht hören.;In that organization which Himmler has prepared against the defeat, everyone is either an executioner, a victim, or an automaton, marching onward over the corpses of his comrades-chosen at first out of the various storm troop formations and later from any army unit or other mass organization.
60;Seine Auslegungen von Kafka offenbarten mehr über ihn selbst als über Kafka;That everyone, whether or not he is directly active in a murder camp, is forced to take part in one way or another in the workings of this machine of mass murder-that is the horrible thing.
61;in seiner naiven Bewunderung einer Welt, die Kafka in solcher Überdeutlichkeit als unerträglich scheußlich dargestellt hatte, enthüllte er seine eigene Eignung für die »Weltordnung«, enthüllte er, wie eng die sogenannte Elite und Avantgarde dieser Weltordnung verbunden waren.;For systematic mass murder-the true consequence of all race theories and other modern ideologies which preach that might is right-strains not only the imagination of human beings, but also the framework and categories of our political thought and action.
62;Die sarkastisch-bittere Bemerkung Kafkas über die verlogene Notwendigkeit und das notwendige Lügen, die zusammen die »Göttlichkeit« dieser Weltordnung ausmachen, und welche so deutlich den eigentlichen Schlüssel zu der Konstruktion der Romanhandlung darstellt, wurde einfach übersehen.   ;Whatever the future of Germany, it will not be determined by anything more than the inevitable consequences of a lost war-consequences which in the nature of the case are temporary.
63;"Kafkas zweiter großer Roman, Das Schloß, führt uns in die gleiche Welt, die aber diesmal nicht durch die Augen eines Menschen gesehen wird, der sich um seine Regierung und andere Fragen allgemeiner Natur nie gekümmert hat und daher hilflos dem Schein der Notwendigkeit ausgeliefert ist;";There is no political method for dealing with German mass crimes, and the destruction of seventy or eighty million Germans, or even their gradual death through starvation (of which, of course, nobody except a few psychotic fanatics dream), would simply mean that the ideology of the Nazis had won, even if power and the rights of might had fallen to other peoples.  
64;sondern durch die Augen eines anderen K., der aus freiem Willen zu ihr kommt, als Fremder, und in ihr ein bestimmtes Vorhaben ausführen will: sich niederlassen, ein Mitbürger werden, sich sein Leben aufbauen, heiraten, Arbeit finden, kurz ein nützliches Mitglied der menschlichen Gesellschaft werden.;Just as there is no political solution within human capacity for the crime of administrative mass murder, so the human need for justice can find no satisfactory reply to the total mobilization of a people for that purpose.
65;Das Charakteristische für die Handlung im Schloß ist, daß der Held nur an dem Allerallgemeinsten interessiert ist und nur um Dinge kämpft, die eigentlich dem Menschen von Geburt garantiert scheinen.;Where all are guilty, nobody in the last analysis can be judged.
66;Aber während er nicht mehr verlangt als das Minimum menschlicher Existenz, wird doch gleich zu Beginn klar, daß er dies Minimum als Recht verlangt und nichts weniger als sein Recht akzeptieren wird.;For that guilt is not accompanied by even the mere appearance, the mere pretense of responsibility.
67;"Er ist bereit, alle nötigen Eingaben zu machen, um die Aufenthaltserlaubnis zu bekommen, aber als Gnadengeschenk will er sie nicht;";
68;er ist bereit, seinen Beruf zu wechseln, aber auf »geregelte Arbeit« kann er nicht verzichten.;So long as punishment is the right of the criminal-and this paradigm has for more than two thousand years been the basis of the sense of justice and right of Occidental man-guilt implies the consciousness of guilt, and punishment evidence that the criminal is a responsible person.
69;All dies hängt von den Entscheidungen des Schlosses ab, und die Schwierigkeiten K.s beginnen, als sich herausstellt, daß das Schloß Rechte nur als Gnadengeschenke vergibt oder als Vorrechte.;How it is in this matter has been well described by an American correspondent, in a story whose dialogue is worthy of the imagination and creative power of a great poet.   
70;Und da K. Recht will und nicht Vorrechte, Mitbürger der Dorfbewohner werden und »möglichst weit den Herren vom Schloß entrückt« sein möchte, lehnt er beides ab, das Gnadengeschenk und die auszeichnenden Beziehungen zum Schloß: so, hofft er, werden »sich ihm gewiß mit einem Schlage alle Wege erschließen, die ihm, wenn es nur auf die Herren oben und ihre Gnade angekommen wäre, für immer nicht nur versperrt, sondern unsichtbar geblieben wären«.;Q. Did you kill people in the camp?
71;An dieser Stelle treten die Dorfbewohner in das Zentrum der Handlung.;"A. Yes. 	 "
72;Sie sind erschreckt, daß K. einfach einer der ihren werden will, ein einfacher »Dorfarbeiter«, daß er es ablehnt, ein Glied der herrschenden Gesellschaft zu werden.;Q. Did you poison them with gas?
73;Wieder und wieder suchen sie ihm klar zu machen, daß es ihm an allgemeiner Welt- und Lebenserfahrung fehle, daß er nicht wisse, wie es um das Leben bestellt sei, das nämlich wesentlich von Gnade und Ungnade abhänge, Segen oder Fluch sei, und daß kein wirklich wichtiges und entscheidendes Ereignis verständlicher oder weniger zufällig sei als Glück und Unglück.;"A. Yes. 	 "
74;K. will nicht verstehen, daß für die Dorfbewohner auch Recht und Unrecht, beziehungsweise im Recht oder im Unrecht sein, noch Teil des Schicksals ist, das man hinzuzunehmen hat, das man erfüllen kann aber nicht ändern.;Q. Did you bury them alive?
75;Von hier ab erscheint die Fremdheit des zugereisten Landvermessers K., der kein Dorfbewohner ist und kein Schloßbeamter und daher außerhalb der Herrschaftsverhältnisse der ihn umgebenden Welt steht, erst in ihrer eigentlichen Bedeutung.;"A. It sometimes happened. 	 "
76;In seinem Insistieren auf den Menschenrechten erweist sich der Fremde als der einzige, der noch einen Begriff von einem einfach menschlichen Leben in der Welt hat.;Q. Were the victims picked from all over Europe?
77;Die spezifische Welterfahrung der Dorfbewohner hat sie gelehrt, all dies, Liebe und Arbeit und Freundschaft, als eine Gabe anzusehen, die sie »von oben«, aus den Regionen des Schlosses empfangen mögen, deren sie selbst aber keinesfalls mehr Herr sind.;"A. I suppose so. 	 "
78;So haben sich die einfachsten Beziehungen ins geheimnisvoll Dunkle gehüllt, was im Prozeß die Weltordnung war, tritt hier als Schicksal auf, als Segen oder Fluch, dem man sich mit Furcht und Ehrfurcht interpretierend unterwirft.;Q. Did you personally help kill people?
79;K.s Vorsatz, sich auf einem Rechtsboden selbst das zu schaffen und zu verschaffen, was zu einem menschlichen Leben gehört, wirkt daher keineswegs als selbstverständlich, sondern ist in dieser Welt ganz und gar eine Ausnahme, und als solche ein Skandal.;A. Absolutely not.
80;K. wird darum gezwungen, für ein Minimum menschlicher Forderungen so zu kämpfen, als wäre in ihnen ein wahnwitziges Maximum menschlicher Wünsche überhaupt beschlossen, und die Dorfbewohner rücken von ihm ab, weil sie in seinem Verlangen nur eine alles und alle bedrohende Hybris zu vermuten vermögen.;"I was only paymaster in the camp. 	 "
81;K. ist ihnen fremd, nicht weil er der Menschenrechte als Fremder beraubt ist, sondern weil er kommt und sie verlangt.;Q. What did you think of what was going on?
82;Trotz der Furcht der Dorfbewohner, die jeden Augenblick eine Katastrophe für K. befürchten, passiert ihm eigentlich gar nichts.;"A. It was bad at first but we got used to it. 	 "
83;Er erreicht allerdings auch nichts, und der nur mündlich von Kafka mitgeteilte Schluß sah seinen Tod aus Erschöpfung - also einen völlig natürlichen Tod - vor.;Q. Do you know the Russians will hang you?
84;"Das Einzige, was K. erreicht, erreicht er ohne Absicht;";A. (Bursting into tears)
85;es gelingt ihm, nur durch seine Haltung und seine Beurteilung der um ihn herum vorgehenden Dinge, einigen der Dorfbewohner die Augen zu öffnen:;Why should they?
86;»Du hast einen erstaunlichen Überblick...;What have I done?     
87;manchmal hilfst du mir mit einem Wort, es ist wohl, weil du aus der Fremde kommst.;Really he had done nothing.
88;Wir dagegen, mit unsern traurigen Erfahrungen und fortwährenden Befürchtungen erschrecken ja, ohne uns dagegen zu wehren, schon über jedes Knacken des Holzes, und wenn der eine erschrickt, erschrickt auch gleich der andere und weiß nun nicht einmal den richtigen Grund.;He had only carried out orders and since when has it been a crime to carry out orders?
89;Auf solche Weise kann man zu keinem richtigen Urteil kommen...;Since when has it been a virtue to rebel?
90;Was für ein Glück ist es für uns, daß du gekommen bist.;Since when could one only be decent by welcoming death?
91;« K. wehrt sich gegen diese Rolle;What then had he done?  
92;"er ist nicht als »Glücksbringer« gekommen, er hat keine Zeit und keine überflüssige Kraft, um andern zu helfen;";In his play, “The Last Days of Mankind” about the last war, Karl Kraus rang down the curtain after Wilhelm II had cried, “I did not want this.”
93;wer solches von ihm geradezu verlangt, »verwirrte seine Wege«Mitgeteilt im Anhang der dritten Ausgabe des »Schlosses«, New York 1946.;
94;Er will nichts als sein eigenes Leben in Ordnung bringen und in Ordnung halten.;And the horribly comic part of it was that this was the fact.
95;Da er im Verfolg dieses Vorhabens, anders als der K. des Prozeß, sich nicht dem scheinbar Notwendigen unterwirft, wird nicht Scham, sondern Erinnerung der Dorfbewohner ihn überleben.   ;When the curtain falls this time, we will have to listen to a whole chorus calling out, “We did not do this.”
96;Kafkas Welt ist zweifellos eine furchtbare Welt.;And even though we shall no longer be able to appreciate the comic element, the horrible part of it will still be that this is the fact.   
97;Daß sie mehr als ein Albtraum ist, daß sie vielmehr strukturell der Wirklichkeit, die wir zu erleben gezwungen wurden, unheimlich adäquat ist, wissen wir heute vermutlich besser als vor zwanzig Jahren.;III  
98;Das Großartige dieser Kunst liegt darin beschlossen, daß sie heute noch so erschütternd wirken kann wie damals, daß der Schrecken der Strafkolonie durch die Realität der Gaskammern nichts an Unmittelbarkeit eingebüßt hat.;In trying to understand what were the real motives which caused people to act as cogs in the mass murder machine, we shall not be aided by speculations about German history and the so-called German national character, of whose potentialities those who knew Germany most intimately had not the slightest idea fifteen years ago.
99;Wäre Kafkas Dichtung wirklich nichts als Prophezeiung eines kommenden Schreckens, so wäre sie genau so billig wie alle andern Untergangsprophetien, mit denen wir seit Beginn unseres Jahrhunderts oder vielmehr seit dem Drittel des 19. Jahrhunderts heimgesucht worden sind.;There is more to be learned from the characteristic personality of the man who can boast that he was the organizing spirit of the murder.
100;Charles Péguy, der selbst oft die zweifelhafte Ehre gehabt hat, unter die Propheten gerechnet zu werden, bemerkte einmal: »Der Determinismus, sofern er überhaupt vorgestellt werden kann, ist vielleicht nichts anderes als das Gesetz der Rückstände.;Heinrich Himmler is not one of those intellectuals stemming from the dim No Man’s Land between the Bohemian and the Pimp, whose significance in the composition of the Nazi élite has been repeatedly stressed of late.
101;Hierin liegt eine sehr präzise Wahrheit.;He is neither a Bohemian like Goebbels, nor a sex criminal like Streicher, nor a perverted fanatic like Hitler, nor an adventurer like Goering.
