,de1,de2
40,"es führt ihn nämlich in jene Verwirrung, in welcher er das organisierte und bösartige Übel seiner Umwelt verwechselt mit dem Ausdruck jener allgemein menschlichen Schuld, die harmlos und eigentlich unschuldig ist verglichen mit dem bösen Willen, der »die Lüge zur Weltordnung« macht und für diese Weltordnung selbst des Menschen berechtigte Demut brauchen und mißbrauchen kann.","Deswegen ist K.s Streben keineswegs gewöhnlich und einleuchtend, sondern im Gegenteil außergewöhnlich und anstößig."
41,"Das Funktionieren der bösartig bürokratischen Maschine, in die der Held unschuldig sich verfangen hat, wird also begleitet durch eine innere Entwicklung, welche durch das Schuldgefühl ausgelöst worden ist.","Er kämpft um das Minimum, als ob es etwas wäre, das die Totalität aller möglichen Forderungen umfaßt."
42,"In dieser Entwicklung wird er »erzogen«, verändert und gebildet, bis er in die Rolle, die ihm zugemutet wurde, hereinpaßt und befähigt ist, in der Welt der Notwendigkeit, der Ungerechtigkeit und der Lüge schlecht und recht mitzuspielen.",K.s hartnäckige Zielstrebigkeit öffnet jedoch einigen Dorfbewohnern die Augen
43,"Dies ist seine Art, sich den herrschenden Zuständen anzupassen.","sein Benehmen zeigt ihnen, daß Menschenrechte wert sein können, erkämpft zu werden und daß die Herrschaft des Schlosses nicht göttliches Gebot ist und darum angegriffen werden kann."
44,"Die innere Entwicklung des Helden und das Funktionieren der Maschine treffen schließlich in der letzten Szene der Hinrichtung zusammen, als K. sich ohne Sträuben, ja ohne Widerrede abführen und töten läßt.",
45,"Um der Notwendigkeit willen wird er ermordet, um der Notwendigkeit willen und in der Verwirrung des Schuldbewußtseins unterwirft er sich.","Und sie fügen hinzu: »wie froh sind wir, daß du zu uns kamst«!"
46,"Und die einzige Hoffnung, die am äußersten Ende der Romanhandlung blitzartig auftaucht, ist: »Es war als sollte die Scham ihn überleben.«","Doch der Kampf des Fremden hatte nur den Erfolg, ein Beispiel zu geben."
47,"Die Scham nämlich, daß dies die Weltordnung ist und er, Josef K., wenn auch als ihr Opfer, ein gehorsames Glied derselben.",
48,"Daß der Prozeß eine Kritik der bürokratischen Regierungsform des alten Österreich impliziert, dessen zahlreiche und sich bekämpfende Nationalitäten durch eine uniforme Beamtenhierarchie regiert wurden, wurde gleich bei Erscheinen des Romans erkannt.",
49,"Kafka, Angestellter einer Arbeitsversicherungsgesellschaft und Freund osteuropäischer Juden, denen er die Aufenthaltserlaubnis in Österreich zu verschaffen hatte, kannte die politischen Zustände seines Landes sehr genau.",
50,"Er wußte, daß, hatte sich einer erst einmal in den Maschen des bürokratischen Apparates verfangen, er auch schon verurteilt war.",
51,"Die Herrschaft der Bürokratie brachte es mit sich, daß die Auslegung des Gesetzes zum Instrument der Gesetzlosigkeit wurde, wobei die chronische Aktionsunfähigkeit der Gesetzinterpreten durch einen an sich sinnlosen Automatismus in der niederen Beamtenhierarchie kompensiert wurde, dem alle eigentlichen Entscheidungen überlassen waren.","Wir wissen, daß Kafkas Konstruktion kein bloßer Albtraum war."
52,"Da aber in den zwanziger Jahren, als der Roman zum ersten Mal erschien, das eigentliche Wesen der Bürokratie in Europa noch nicht hinlänglich bekannt war, beziehungsweise nur einer verschwindend kleinen Schicht von europäischen Menschen wirklich zum Verhängnis geworden war, schien das Entsetzen und der Schrecken, die im Roman zum Ausdruck kommen, unerklärlich, seinem eigentlichen Inhalt gleichsam nicht adäquat.",Aber diese Welt hat sich tatsächlich verwirklicht.
53,Man erschrak mehr vor dem Roman als vor der Sache selbst.,"Die Generation der vierziger Jahre und besonders diejenigen, die den zweifelhaften Vorzug hatten, unter dem furchtbarsten Regime gelebt zu haben, das die Geschichte bisher hervorgebracht hat, wissen, daß Kafkas Terror der wahren Natur des Sachverhaltes entspricht, die wir Bürokratie nennen - wo Regierung durch Verwaltung und Gesetze durch willkürliche Erlasse ersetzt werden."
54,"So begann man nach anderen, scheinbar tieferen Auslegungen zu suchen und fand sie, der Mode der Zeit folgend, in einer kabbalisierenden Darstellung religiöser Realitäten, gleichsam einer satanischen Theologie.","Wäre Kafkas Beschreibung dieser Maschinerie wirklich Prophezeihung, so wäre sie genau so billig, wie die zahllosen anderen Vorhersagen, die uns seit dem Anfang des Jahrhunderts plagen."
55,"Daß solche Irrtümer möglich waren -- und dies Mißverständnis ist nicht weniger fundamental, wenn auch weniger vulgär, als das Mißverständnis der psychoanalytischen Auslegungen Kafkas --, liegt natürlich im Werke Kafkas selber.","Charles Péguy, der selber oft mit einem Propheten verwechselt wurde, bemerkte einmal: »Der Determinismus, soweit er begriffen werden kann, ist vielleicht nichts anderes als das Gesetz der Rückstände«."
56,"Kafka beschreibt wirklich eine Gesellschaft, die sich für die Stellvertretung Gottes auf Erden hält und schildert Menschen, welche die Gesetze solch einer Gesellschaft als göttliche Gebote betrachten -- unwandelbar durch menschlichen Willen.",
57,"Das Böse der Welt, in die Kafkas Helden sich verstricken, ist gerade ihre Vergottung, ihre Anmaßung, eine göttliche Notwendigkeit darzustellen.","In einer sich auflösenden Gesellschaft, die blind dem natürlichen Weg des Unterganges folgt, kann die Katastrophe vorausgesehen werden."
58,"Kafka ist darauf aus, diese Welt zu zerstören, indem er ihre scheußliche Struktur überdeutlich nachzeichnet und so Wirklichkeit und Anspruch einander gegenüberstellt.",
59,"Aber der Leser der zwanziger Jahre, bezaubert von Paradoxen, verwirrt von dem Spiel der Gegensätze als solchen, wollte auf Vernunft nicht hören.",
60,Seine Auslegungen von Kafka offenbarten mehr über ihn selbst als über Kafka,"Durch den Glauben an einen notwendigen und automatischen Prozeß, dem sich der Mensch unterwerfen müsse, einen Glauben, der zu seiner Zeit beinahe allgemeingültig war, wurden diese verderblichen Strukturen unterstützt, und der Untergang selbst beschleunigt."
61,"in seiner naiven Bewunderung einer Welt, die Kafka in solcher Überdeutlichkeit als unerträglich scheußlich dargestellt hatte, enthüllte er seine eigene Eignung für die »Weltordnung«, enthüllte er, wie eng die sogenannte Elite und Avantgarde dieser Weltordnung verbunden waren.","Die Worte des Gefängnisgeistlichen im Prozeß enthüllen den Glauben der Beamten als Glauben an eine Notwendigkeit, als deren Sachwalter sie auftreten."
62,"Die sarkastisch-bittere Bemerkung Kafkas über die verlogene Notwendigkeit und das notwendige Lügen, die zusammen die »Göttlichkeit« dieser Weltordnung ausmachen, und welche so deutlich den eigentlichen Schlüssel zu der Konstruktion der Romanhandlung darstellt, wurde einfach übersehen.   ",»Der Engel der Geschichte .... kehrt sein Antlitz der Vergangenheit zu.
63,"Kafkas zweiter großer Roman, Das Schloß, führt uns in die gleiche Welt, die aber diesmal nicht durch die Augen eines Menschen gesehen wird, der sich um seine Regierung und andere Fragen allgemeiner Natur nie gekümmert hat und daher hilflos dem Schein der Notwendigkeit ausgeliefert ist;",
64,"sondern durch die Augen eines anderen K., der aus freiem Willen zu ihr kommt, als Fremder, und in ihr ein bestimmtes Vorhaben ausführen will: sich niederlassen, ein Mitbürger werden, sich sein Leben aufbauen, heiraten, Arbeit finden, kurz ein nützliches Mitglied der menschlichen Gesellschaft werden.","Aber ein Wind weht vom Paradies und verfängt sich in seinen Flügeln, der so stark ist, daß der Engel sie nicht schließen kann."
65,"Das Charakteristische für die Handlung im Schloß ist, daß der Held nur an dem Allerallgemeinsten interessiert ist und nur um Dinge kämpft, die eigentlich dem Menschen von Geburt garantiert scheinen.","Dieser Wind ist, was wir Fortschritt nennen«.  "
66,"Aber während er nicht mehr verlangt als das Minimum menschlicher Existenz, wird doch gleich zu Beginn klar, daß er dies Minimum als Recht verlangt und nichts weniger als sein Recht akzeptieren wird.",
67,"Er ist bereit, alle nötigen Eingaben zu machen, um die Aufenthaltserlaubnis zu bekommen, aber als Gnadengeschenk will er sie nicht;",
68,"er ist bereit, seinen Beruf zu wechseln, aber auf »geregelte Arbeit« kann er nicht verzichten.","Dort leben alle, seien es die Kleinen, wie das Volk im Schloß, das Angst um seine Stellung hat, oder die Großen, wie die Beamten im Schloß und im Prozeß, in vollständiger Übereinstimmung mit ihren Stellungen und streben nach einer Art übermenschlicher Vollkommenheit."
69,"All dies hängt von den Entscheidungen des Schlosses ab, und die Schwierigkeiten K.s beginnen, als sich herausstellt, daß das Schloß Rechte nur als Gnadengeschenke vergibt oder als Vorrechte.",
70,"Und da K. Recht will und nicht Vorrechte, Mitbürger der Dorfbewohner werden und »möglichst weit den Herren vom Schloß entrückt« sein möchte, lehnt er beides ab, das Gnadengeschenk und die auszeichnenden Beziehungen zum Schloß: so, hofft er, werden »sich ihm gewiß mit einem Schlage alle Wege erschließen, die ihm, wenn es nur auf die Herren oben und ihre Gnade angekommen wäre, für immer nicht nur versperrt, sondern unsichtbar geblieben wären«.",
71,An dieser Stelle treten die Dorfbewohner in das Zentrum der Handlung.,
72,"Sie sind erschreckt, daß K. einfach einer der ihren werden will, ein einfacher »Dorfarbeiter«, daß er es ablehnt, ein Glied der herrschenden Gesellschaft zu werden.","Als zum Beispiel in dem Roman Amerika der Oberportier eines Hotels jemand verwechselt, sagt er:"
73,"Wieder und wieder suchen sie ihm klar zu machen, daß es ihm an allgemeiner Welt- und Lebenserfahrung fehle, daß er nicht wisse, wie es um das Leben bestellt sei, das nämlich wesentlich von Gnade und Ungnade abhänge, Segen oder Fluch sei, und daß kein wirklich wichtiges und entscheidendes Ereignis verständlicher oder weniger zufällig sei als Glück und Unglück.",In meinen dreißig Dienstjahren ist mir allerdings noch keine Verwechslung passiert«.
74,"K. will nicht verstehen, daß für die Dorfbewohner auch Recht und Unrecht, beziehungsweise im Recht oder im Unrecht sein, noch Teil des Schicksals ist, das man hinzuzunehmen hat, das man erfüllen kann aber nicht ändern.",Sich irren heißt seine Stellung verlieren
75,"Von hier ab erscheint die Fremdheit des zugereisten Landvermessers K., der kein Dorfbewohner ist und kein Schloßbeamter und daher außerhalb der Herrschaftsverhältnisse der ihn umgebenden Welt steht, erst in ihrer eigentlichen Bedeutung.",deswegen kann er nicht einmal die Möglichkeit eines Irrtums zugeben.
76,"In seinem Insistieren auf den Menschenrechten erweist sich der Fremde als der einzige, der noch einen Begriff von einem einfach menschlichen Leben in der Welt hat.","Arbeitende, die von der Gesellschaft gezwungen werden, die menschliche Möglichkeit des Irrtums zu leugnen, können nicht menschlich bleiben, sondern müssen handeln, als ob sie Übermenschen wären."
77,"Die spezifische Welterfahrung der Dorfbewohner hat sie gelehrt, all dies, Liebe und Arbeit und Freundschaft, als eine Gabe anzusehen, die sie »von oben«, aus den Regionen des Schlosses empfangen mögen, deren sie selbst aber keinesfalls mehr Herr sind.","Kafkas Beamte, Angestellte und Funktionäre sind weit davon entfernt, vollkommen zu sein, aber sie alle handeln nach der nämlichen Voraussetzung allumfassender Tüchtigkeit."
78,"So haben sich die einfachsten Beziehungen ins geheimnisvoll Dunkle gehüllt, was im Prozeß die Weltordnung war, tritt hier als Schicksal auf, als Segen oder Fluch, dem man sich mit Furcht und Ehrfurcht interpretierend unterwirft.","Kafka stellt uns sofort vor das Ergebnis einer solchen Entwicklung, denn nur das Ergebnis gilt."
79,"K.s Vorsatz, sich auf einem Rechtsboden selbst das zu schaffen und zu verschaffen, was zu einem menschlichen Leben gehört, wirkt daher keineswegs als selbstverständlich, sondern ist in dieser Welt ganz und gar eine Ausnahme, und als solche ein Skandal.",
80,"K. wird darum gezwungen, für ein Minimum menschlicher Forderungen so zu kämpfen, als wäre in ihnen ein wahnwitziges Maximum menschlicher Wünsche überhaupt beschlossen, und die Dorfbewohner rücken von ihm ab, weil sie in seinem Verlangen nur eine alles und alle bedrohende Hybris zu vermuten vermögen.","Umfassende Tüchtigkeit ist der Motor der Maschine, in der sich Kafkas Helden verfangen, einer Maschine, die in sich selber sinnlos und zerstörerisch ist, die aber reibungslos arbeitet.    "
81,"K. ist ihnen fremd, nicht weil er der Menschenrechte als Fremder beraubt ist, sondern weil er kommt und sie verlangt.","Eines der Haupt-Themen der Erzählungen Kafkas ist der Aufbau dieser Apparatur, die Beschreibung ihrer glatten Arbeitsweise, und die Versuche seiner Helden, sie um der einfachen menschlichen Werte willen zu zerstören."
82,"Trotz der Furcht der Dorfbewohner, die jeden Augenblick eine Katastrophe für K. befürchten, passiert ihm eigentlich gar nichts.","Diese namenlosen Helden sind nicht gewöhnliche Menschen, wie man sie auf der Straße treffen könnte, sondern vielmehr das Urbild des »gewöhnlichen Menschen« als ein Ideal von Humanität."
83,"Er erreicht allerdings auch nichts, und der nur mündlich von Kafka mitgeteilte Schluß sah seinen Tod aus Erschöpfung - also einen völlig natürlichen Tod - vor.","Wie der »vergessene Mensch« aus Chaplin’s Filmen, so wurde auch Kafkas »gewöhnlicher Mensch« von einer Gesellschaft vergessen, die aus großen und kleinen Leuten besteht."
84,"Das Einzige, was K. erreicht, erreicht er ohne Absicht;",dem Funktionieren.
85,"es gelingt ihm, nur durch seine Haltung und seine Beurteilung der um ihn herum vorgehenden Dinge, einigen der Dorfbewohner die Augen zu öffnen:","Dieser gute Wille, für den der Held nur zum Beispiel dient, hat auch seine Funktion."
86,»Du hast einen erstaunlichen Überblick...,"Auf beinahe unschuldige Weise enthüllt er die verborgene Struktur der Gesellschaft, die offenbar die einfachsten Bedürfnisse des Menschen vereitelt und seine besten Vorsätze zerstört."
87,"manchmal hilfst du mir mit einem Wort, es ist wohl, weil du aus der Fremde kommst.","Er enthüllt auch den falschen Aufbau einer Welt, in der der Mensch guten Willens, der keine erfolgreiche Laufbahn ergreifen will, einfach verloren ist."
88,"Wir dagegen, mit unsern traurigen Erfahrungen und fortwährenden Befürchtungen erschrecken ja, ohne uns dagegen zu wehren, schon über jedes Knacken des Holzes, und wenn der eine erschrickt, erschrickt auch gleich der andere und weiß nun nicht einmal den richtigen Grund.","Er hilft diese Seiten der Wohlanständigkeit aufdecken, bevor sie tatsächlich in Stücke gerissen wird."
89,Auf solche Weise kann man zu keinem richtigen Urteil kommen...,"Der Eindruck der Unwirklichkeit und Modernität, den wir bei Kafkas Erzählungen bekommen, beruht hauptsächlich darauf, daß sein höchstes Interesse diesem Funktionieren gilt, daß er Ansichten überhaupt aufs äußerste vernachlässigt und daß er sich nicht für das Äußere und die Erscheinung der Welt interessiert."
90,"Was für ein Glück ist es für uns, daß du gekommen bist.","Es ist darum ein Mißverständnis, ihn zu den Surrealisten zu zählen."
91,« K. wehrt sich gegen diese Rolle,"Während der Surrealist versucht, so viele und widersprechende Ansichten der Wirklichkeit als möglich zu zeigen, erfindet Kafka frei die Ansichten, die sich auf jenes Funktionieren beziehen, und dieses bleibt sein Hauptanliegen."
